"month","game_name","language","has_older_device_model","age","mrr","paid_users","new_paid_users","new_mrr","churned_users","churned_revenue","expansion_mrr","contraction_mrr"
2022-03-01,game 3,ru,false,15,38.10,1,1,38.10,0,0,0,0
2022-03-01,game 3,ru,false,16,23.76,1,1,23.76,0,0,0,0
2022-03-01,game 3,ru,false,17,75.39,2,2,75.39,1,20.79,0,0
2022-03-01,game 3,ru,false,20,17.79,1,1,17.79,0,0,0,0
2022-03-01,game 3,ru,false,22,65.82,3,3,65.82,1,16.98,0,0
2022-03-01,game 3,ru,false,23,190.08,3,3,190.08,0,0,0,0
2022-03-01,game 3,ru,false,24,78.54,2,2,78.54,0,0,0,0
2022-03-01,game 3,ru,false,25,105.42,2,2,105.42,0,0,0,0
2022-03-01,game 3,ru,false,29,13.32,1,1,13.32,1,13.32,0,0
2022-03-01,game 3,ru,false,32,38.52,1,1,38.52,0,0,0,0
2022-03-01,game 3,ru,false,35,12.54,1,1,12.54,1,12.54,0,0
2022-03-01,game 3,uk,false,14,15.66,1,1,15.66,1,15.66,0,0
2022-03-01,game 3,uk,false,15,90.45,2,2,90.45,0,0,0,0
2022-03-01,game 3,uk,false,16,65.46,2,2,65.46,0,0,0,0
2022-03-01,game 3,uk,false,18,42.69,2,2,42.69,0,0,0,0
2022-03-01,game 3,uk,false,20,155.85,5,5,155.85,2,65.76,0,0
2022-03-01,game 3,uk,false,22,48.57,2,2,48.57,1,25.41,0,0
2022-03-01,game 3,uk,false,24,92.43,3,3,92.43,1,24.15,0,0
2022-03-01,game 3,uk,false,25,122.64,1,1,122.64,0,0,0,0
2022-03-01,game 3,uk,false,34,22.95,1,1,22.95,0,0,0,0
2022-03-01,game 3,uk,false,38,12.72,1,1,12.72,0,0,0,0
2022-03-01,game 3,uk,true,15,13.98,1,1,13.98,0,0,0,0
2022-03-01,game 3,uk,true,18,120.69,3,3,120.69,2,104.55,0,0
2022-03-01,game 3,uk,true,20,27.15,1,1,27.15,0,0,0,0
2022-04-01,game 3,en,false,20,21.33,1,1,21.33,0,0,0,0
2022-04-01,game 3,ru,false,15,83.04,2,1,23.31,2,83.04,21.63,0
2022-04-01,game 3,ru,false,16,99.54,2,1,18.12,1,18.12,57.66,0
2022-04-01,game 3,ru,false,17,116.34,2,1,59.64,0,0,2.10,0
2022-04-01,game 3,ru,false,18,102.15,3,3,102.15,2,79.11,0,0
2022-04-01,game 3,ru,false,19,41.46,1,1,41.46,0,0,0,0
2022-04-01,game 3,ru,false,20,260.61,4,3,134.64,0,0,108.18,0
2022-04-01,game 3,ru,false,21,55.86,1,1,55.86,0,0,0,0
2022-04-01,game 3,ru,false,22,171.93,2,0,0,0,0,123.09,0
2022-04-01,game 3,ru,false,23,273.39,4,1,50.16,2,109.08,77.67,44.52
2022-04-01,game 3,ru,false,24,84.00,2,0,0,0,0,22.47,17.01
2022-04-01,game 3,ru,false,25,53.64,2,0,0,1,16.8,0,51.78
2022-04-01,game 3,ru,false,30,35.55,1,1,35.55,0,0,0,0
2022-04-01,game 3,ru,false,32,58.20,1,0,0,0,0,19.68,0
2022-04-01,game 3,ru,false,34,12.03,1,1,12.03,0,0,0,0
2022-04-01,game 3,ru,false,43,14.61,1,1,14.61,1,14.61,0,0
2022-04-01,game 3,ru,true,20,19.11,1,1,19.11,0,0,0,0
2022-04-01,game 3,ru,true,21,26.61,1,1,26.61,0,0,0,0
2022-04-01,game 3,ru,true,24,42.24,1,1,42.24,0,0,0,0
2022-04-01,game 3,uk,false,14,111.45,2,2,111.45,1,24.09,0,0
2022-04-01,game 3,uk,false,15,102.96,2,0,0,0,0,16.35,3.84
2022-04-01,game 3,uk,false,16,219.15,3,1,33.03,0,0,120.66,0
2022-04-01,game 3,uk,false,18,70.68,2,0,0,2,70.68,27.99,0
2022-04-01,game 3,uk,false,19,67.26,1,1,67.26,0,0,0,0
2022-04-01,game 3,uk,false,20,259.71,4,1,47.94,0,0,121.68,0
2022-04-01,game 3,uk,false,21,189.33,4,4,189.33,2,102.48,0,0
2022-04-01,game 3,uk,false,22,261.03,3,2,174.15,0,0,63.72,0
2022-04-01,game 3,uk,false,23,198.00,3,3,198.00,0,0,0,0
2022-04-01,game 3,uk,false,24,117.15,3,1,31.68,1,13.95,48.51,31.32
2022-04-01,game 3,uk,false,25,186.69,4,3,130.53,1,14.37,0,66.48
2022-04-01,game 3,uk,false,28,18.39,1,1,18.39,1,18.39,0,0
2022-04-01,game 3,uk,false,29,16.92,1,1,16.92,1,16.92,0,0
2022-04-01,game 3,uk,false,30,14.34,1,1,14.34,0,0,0,0
2022-04-01,game 3,uk,false,34,39.48,1,0,0,0,0,16.53,0
2022-04-01,game 3,uk,false,38,48.33,1,0,0,1,48.33,35.61,0
2022-04-01,game 3,uk,true,15,14.82,1,0,0,0,0,0.84,0
2022-04-01,game 3,uk,true,18,18.42,1,0,0,0,0,2.28,0
2022-04-01,game 3,uk,true,20,14.94,1,0,0,0,0,0,12.21
2022-04-01,game 3,uk,true,21,59.67,1,1,59.67,0,0,0,0
2022-05-01,game 3,en,false,16,91.17,1,1,91.17,0,0,0,0
2022-05-01,game 3,en,false,20,75.90,1,0,0,0,0,54.57,0
2022-05-01,game 3,ru,false,15,133.14,1,1,133.14,1,133.14,0,0
2022-05-01,game 3,ru,false,16,15.69,1,0,0,0,0,0,65.73
2022-05-01,game 3,ru,false,17,263.85,5,2,168.12,1,20.85,0,68.49
2022-05-01,game 3,ru,false,18,96.45,3,2,81.90,2,81.90,0,8.49
2022-05-01,game 3,ru,false,19,53.43,2,1,40.17,0,0,0,28.20
2022-05-01,game 3,ru,false,20,200.85,5,1,12.12,0,0,24.09,95.97
2022-05-01,game 3,ru,false,21,22.17,1,0,0,0,0,0,33.69
2022-05-01,game 3,ru,false,22,120.87,2,0,0,1,62.61,0,51.06
2022-05-01,game 3,ru,false,23,88.80,2,0,0,0,0,0,75.51
2022-05-01,game 3,ru,false,24,118.65,3,1,12.48,0,0,22.17,0
2022-05-01,game 3,ru,false,25,42.72,1,0,0,0,0,5.88,0
2022-05-01,game 3,ru,false,27,22.86,1,1,22.86,1,22.86,0,0
2022-05-01,game 3,ru,false,30,41.88,1,0,0,0,0,6.33,0
2022-05-01,game 3,ru,false,31,24.36,1,1,24.36,1,24.36,0,0
2022-05-01,game 3,ru,false,32,118.95,1,0,0,0,0,60.75,0
2022-05-01,game 3,ru,false,34,28.32,1,0,0,0,0,16.29,0
2022-05-01,game 3,ru,false,35,31.56,1,0,0,1,31.56,0,0
2022-05-01,game 3,ru,true,17,86.46,1,1,86.46,0,0,0,0
2022-05-01,game 3,ru,true,20,40.62,1,0,0,1,40.62,21.51,0
2022-05-01,game 3,ru,true,21,96.06,1,0,0,0,0,69.45,0
2022-05-01,game 3,ru,true,24,15.6,1,0,0,0,0,0,26.64
2022-05-01,game 3,uk,false,14,143.82,2,0,0,1,95.52,0,39.06
2022-05-01,game 3,uk,false,15,138.27,2,0,0,0,0,40.41,5.10
2022-05-01,game 3,uk,false,16,318.69,5,2,122.34,1,28.35,38.31,61.11
2022-05-01,game 3,uk,false,17,32.10,1,1,32.10,0,0,0,0
2022-05-01,game 3,uk,false,19,192.72,3,2,176.28,1,16.44,0,50.82
2022-05-01,game 3,uk,false,20,295.74,6,1,21.84,2,109.59,42.81,47.46
2022-05-01,game 3,uk,false,21,116.79,4,2,64.86,1,20.73,0,34.92
2022-05-01,game 3,uk,false,22,168.63,5,2,85.56,1,17.4,0,177.96
2022-05-01,game 3,uk,false,23,212.94,3,0,0,1,68.73,25.98,11.04
2022-05-01,game 3,uk,false,24,155.10,4,1,49.05,0,0,38.40,55.47
2022-05-01,game 3,uk,false,25,238.89,3,0,0,1,64.86,104.67,38.10
2022-05-01,game 3,uk,false,26,12.99,1,1,12.99,0,0,0,0
2022-05-01,game 3,uk,false,28,25.17,2,2,25.17,1,12.99,0,0
2022-05-01,game 3,uk,false,29,41.37,3,3,41.37,1,13.2,0,0
2022-05-01,game 3,uk,false,30,38.43,3,2,26.34,1,14.25,0,2.25
2022-05-01,game 3,uk,false,31,26.46,2,2,26.46,0,0,0,0
